variable,odds_ratio
Intercept,0.0024195463925733994
"C(race_cat, Treatment(reference='White'))[T.Asian]",0.5210216183219496
"C(race_cat, Treatment(reference='White'))[T.Black]",0.6594669882249341
"C(race_cat, Treatment(reference='White'))[T.Joint]",0.6247959121618996
"C(race_cat, Treatment(reference='White'))[T.Mixed minority]",0.925185920594128
"C(race_cat, Treatment(reference='White'))[T.Native American]",0.5563136909601624
"C(race_cat, Treatment(reference='White'))[T.Pacific Islander]",0.3905127909236179
"C(race_cat, Treatment(reference='White'))[T.Race Not Available]",0.5538773549316491
"C(income_bin, Treatment(reference='<$75K'))[T.$150K-$250K]",3.1319027080641875
"C(income_bin, Treatment(reference='<$75K'))[T.$250K+]",2.929759615466535
"C(income_bin, Treatment(reference='<$75K'))[T.$75K-$150K]",2.4890734595415687
"C(race_cat, Treatment(reference='White'))[T.Asian]:C(income_bin, Treatment(reference='<$75K'))[T.$150K-$250K]",1.1491443931966627
"C(race_cat, Treatment(reference='White'))[T.Black]:C(income_bin, Treatment(reference='<$75K'))[T.$150K-$250K]",0.7667553515425338
"C(race_cat, Treatment(reference='White'))[T.Joint]:C(income_bin, Treatment(reference='<$75K'))[T.$150K-$250K]",1.4457242334170965
"C(race_cat, Treatment(reference='White'))[T.Mixed minority]:C(income_bin, Treatment(reference='<$75K'))[T.$150K-$250K]",0.37229733206183546
"C(race_cat, Treatment(reference='White'))[T.Native American]:C(income_bin, Treatment(reference='<$75K'))[T.$150K-$250K]",0.9928438473773143
"C(race_cat, Treatment(reference='White'))[T.Pacific Islander]:C(income_bin, Treatment(reference='<$75K'))[T.$150K-$250K]",0.8874604211346576
"C(race_cat, Treatment(reference='White'))[T.Race Not Available]:C(income_bin, Treatment(reference='<$75K'))[T.$150K-$250K]",1.0733333499394264
"C(race_cat, Treatment(reference='White'))[T.Asian]:C(income_bin, Treatment(reference='<$75K'))[T.$250K+]",1.312618674343013
"C(race_cat, Treatment(reference='White'))[T.Black]:C(income_bin, Treatment(reference='<$75K'))[T.$250K+]",0.6586143089038453
"C(race_cat, Treatment(reference='White'))[T.Joint]:C(income_bin, Treatment(reference='<$75K'))[T.$250K+]",1.4276848173181895
"C(race_cat, Treatment(reference='White'))[T.Mixed minority]:C(income_bin, Treatment(reference='<$75K'))[T.$250K+]",0.3863777759734525
"C(race_cat, Treatment(reference='White'))[T.Native American]:C(income_bin, Treatment(reference='<$75K'))[T.$250K+]",0.78059373517462
"C(race_cat, Treatment(reference='White'))[T.Pacific Islander]:C(income_bin, Treatment(reference='<$75K'))[T.$250K+]",1.7986101432790815
"C(race_cat, Treatment(reference='White'))[T.Race Not Available]:C(income_bin, Treatment(reference='<$75K'))[T.$250K+]",1.218309072473793
"C(race_cat, Treatment(reference='White'))[T.Asian]:C(income_bin, Treatment(reference='<$75K'))[T.$75K-$150K]",1.212900115140079
"C(race_cat, Treatment(reference='White'))[T.Black]:C(income_bin, Treatment(reference='<$75K'))[T.$75K-$150K]",0.9354553156704855
"C(race_cat, Treatment(reference='White'))[T.Joint]:C(income_bin, Treatment(reference='<$75K'))[T.$75K-$150K]",1.9869400117552778
"C(race_cat, Treatment(reference='White'))[T.Mixed minority]:C(income_bin, Treatment(reference='<$75K'))[T.$75K-$150K]",0.5262205581282686
"C(race_cat, Treatment(reference='White'))[T.Native American]:C(income_bin, Treatment(reference='<$75K'))[T.$75K-$150K]",0.9687677341400031
"C(race_cat, Treatment(reference='White'))[T.Pacific Islander]:C(income_bin, Treatment(reference='<$75K'))[T.$75K-$150K]",1.4556474104537402
"C(race_cat, Treatment(reference='White'))[T.Race Not Available]:C(income_bin, Treatment(reference='<$75K'))[T.$75K-$150K]",1.161480623816354
log_loan_amount,1.722356417307504
